2023-09-01	06:19:56	39f2f7a6-6714-49d7-9a16-97d63d74bde2	GET	 undefined	 /
2023-09-01	06:19:56	a39112ce-f3a0-4e8b-a9b3-dce09398110c	GET	 undefined	 /css/style.css
2023-09-01	06:26:58	d3e9610b-2c14-4d45-9047-2bc33bc6ce73	GET	 undefined	 /
2023-09-01	06:26:58	2e464f43-e433-4c63-a412-1f2c92021c41	GET	 undefined	 /css/style.css
2023-09-01	06:27:35	3ac7ff92-574c-4389-8253-88712d775832	GET	 undefined	 /
2023-09-01	06:27:35	dc463e71-62df-42f5-bccf-685e4194641d	GET	 undefined	 /css/style.css
2023-09-01	06:37:53	1a4c7359-7afe-4dbe-9ea3-942c873a0993	GET	 https://www.youtube.com	 /
2023-09-01	06:39:55	1c38cac3-9ebb-49a0-ba64-6d8808efd065	GET	 https://www.youtube.com	 /
2023-09-01	06:40:45	540af3b4-9ae0-423b-9e74-da38e6f49949	GET	 https://www.youtube.com	 /
2023-09-01	06:41:01	865ab267-eded-433a-bc09-97b81aa78cca	GET	 https://www.youtube.com	 /
2023-09-01	06:51:43	eb57434e-2c02-4b5c-8e0b-0c6dcbd25cc9	GET	 https://www.youtube.com	 /
2023-09-01	06:52:23	19ef6cc6-fad3-4367-b12c-ab0a0126fe32	GET	 https://www.youtube.com	 /
2023-09-01	06:52:50	c7dfd19c-357d-4d2f-9777-599554216c56	GET	 https://www.youtube.com	 /
2023-09-01	06:53:19	fcb3563e-651d-45d9-8f4e-9e3601966390	GET	 https://www.youtube.com	 /
2023-09-01	06:53:42	db190c49-b4ca-4225-8233-f6039f80e554	GET	 https://www.youtube.com	 /
2023-09-01	06:53:58	551fa1d9-044d-4fa9-9ab9-7345df56f8aa	GET	 https://www.youtube.com	 /
2023-09-01	06:54:42	c0fba4ff-982f-48a9-a324-04a3de5f38f4	GET	 https://www.youtube.com	 /
2023-09-01	06:55:05	988ca5a1-11a6-424f-a3c2-828886e36361	GET	 https://www.youtube.com	 /
2023-09-01	07:09:01	ee35738f-a1ce-49a5-8c16-3ab79026d44d	GET	 undefined	 /
2023-09-01	07:09:16	7e10b237-19fa-4fa3-90a4-40b8488bcf97	GET	 undefined	 /
2023-09-01	07:11:02	e043d931-2365-4738-b610-9733ff0efa47	GET	 undefined	 /
2023-09-01	07:11:08	4fe40a9e-341f-424f-9614-ee859a15c243	GET	 undefined	 /
2023-09-01	07:11:16	b6ef3c57-0419-4d44-9c97-bf1e33b27c08	GET	 undefined	 /
2023-09-01	07:12:06	0a615ea6-1158-4e30-a19f-8a02beda86e6	GET	 undefined	 /
2023-09-01	07:12:08	e1fde106-86eb-4841-960c-b72be3abde9d	GET	 undefined	 /
2023-09-01	07:13:30	5e3df952-7596-4e62-9c68-acca99df00a8	GET	 undefined	 /
2023-09-01	07:14:01	37c64f45-870d-4762-8a5b-61470f13977b	GET	 undefined	 /
2023-09-01	07:14:01	fa8ec0dc-c633-439b-8937-445aaca21dc8	GET	 undefined	 /css/style.css
2023-09-01	07:19:23	947bf5c2-a1e6-4bb5-b4ab-f63b87521a08	GET	 undefined	 /
2023-09-01	07:19:23	65e590a4-1304-4976-8334-e228c4cd1a7a	GET	 undefined	 /css/style.css
2023-09-01	07:19:26	167821ee-1453-4219-b879-7918f35a685e	GET	 undefined	 /
2023-09-01	07:19:26	f5c38c9c-c594-4cb1-b0df-132ad05f426c	GET	 undefined	 /css/style.css
2023-09-01	07:19:48	1d7c5e38-a82e-4058-9fce-7979465d18ce	GET	 undefined	 /
2023-09-01	07:20:11	193f378b-f1a2-4371-874b-f743ee9c9ff0	GET	 undefined	 /
2023-09-01	07:20:11	7886acea-25b0-4aca-b301-0616e415d2ca	GET	 undefined	 /css/style.css
